Variable Star,Number of Observations,Number of Observers,First Observation JD / UT,Latest Observation JD / UT,Maximum Magnitude,Minimum Magnitude,Range
RX CRT,11,1,2457721.739000 29 Nov 2016 05:44:09.600000,2459691.419000 21 Apr 2022 22:03:21.600000,7.500,8.100,0.600 
RX CYG,49,1,2444144.472000 27 Sep 1979 23:19:40.800000,2457513.503000 5 May 2016 00:04:19.200000,7.000,8.200,1.200 
RX DEL,4,1,2453117.590300 22 Apr 2004 02:10:01.920000,2453339.250700 29 Nov 2004 18:01:00.480000,10.900,14.000,3.100 
RX HER,525,4,2443699.460000 9 Jul 1978 23:02:24.000000,2459050.478000 19 Jul 2020 23:28:19.200000,6.500,7.700,1.200 
RX J0131.4+3602,411,1,2453747.361800 11 Jan 2006 20:40:59.520000,2459904.397000 20 Nov 2022 21:31:40.800000,13.900,16.100,2.200 
RX J1437.0+2342,2,2,2454578.577100 22 Apr 2008 01:51:01.440000,2454926.702800 5 Apr 2009 04:52:01.920000,17.600,18.100,0.500 
RX J183144.5+651135,542,2,2454451.264600 16 Dec 2007 18:21:01.440000,2459860.335000 7 Oct 2022 20:02:24.000000,13.000,16.800,3.800 
RX Lac,6,1,2440391.546000 19 Jun 1969 01:06:14.400000,2440782.469000 14 Jul 1970 23:15:21.600000,7.800,9.300,1.500 
RX LEP,3194,57,2439834.600000 10 Dec 1967 02:24:00.000000,2459906.455000 22 Nov 2022 22:55:12.000000,5.000,7.000,2.000 
RX PEG,3,1,2458724.390000 28 Aug 2019 21:21:36.000000,2459585.250000 5 Jan 2022 18:00:00.000000,8.800,9.400,0.600 
RX PER,24,1,2452149.578500 28 Aug 2001 01:53:02.400000,2453029.446500 24 Jan 2004 22:42:57.600000,10.100,14.200,4.100 
RX PSC,20,1,2452467.579900 12 Jul 2002 01:55:03.360000,2453340.377100 30 Nov 2004 21:03:01.440000,10.200,13.700,3.500 
RX TAU,5,1,2452705.356900 6 Mar 2003 20:33:56.160000,2453267.632600 19 Sep 2004 03:10:56.640000,9.300,12.200,2.900 
RX Tel,1,1,2451262.278000 24 Mar 1999 18:40:19.200000,2451262.278000 24 Mar 1999 18:40:19.200000,7.000,7.000,0.000 
RX TRI,1,1,2448162.474000 27 Sep 1990 23:22:33.600000,2448162.474000 27 Sep 1990 23:22:33.600000,11.400,11.400,0.000 
RX VIR,655,19,2440327.400000 15 Apr 1969 21:36:00.000000,2459732.453000 1 Jun 2022 22:52:19.200000,7.720,9.250,1.530 
RX VUL,2,1,2447771.465278 1 Sep 1989 23:10:00.019200,2447771.480556 1 Sep 1989 23:32:00.038400,10.200,10.200,0.000 
RXJ 1715+6856,10,1,2456762.596530 15 Apr 2014 02:19:00.192000,2457297.324300 1 Oct 2015 19:46:59.520000,13.000,14.500,1.500 
RY AND,20,2,2452971.462500 27 Nov 2003 23:06:00.000000,2456167.340300 27 Aug 2012 20:10:01.920000,10.600,15.300,4.700 
RY CAM,3303,49,2441150.600000 18 Jul 1971 02:24:00.000000,2459908.264000 24 Nov 2022 18:20:09.600000,7.200,9.400,2.200 
RY CMA,12,1,2449738.663200 21 Jan 1995 03:55:00.480000,2449817.052100 9 Apr 1995 13:15:01.440000,8.000,8.800,0.800 
RY CYG,2,1,2455101.340000 26 Sep 2009 20:09:36.000000,2455113.375000 8 Oct 2009 21:00:00.000000,9.200,9.500,0.300 
RY DRA,11910,164,2439820.300000 25 Nov 1967 19:12:00.000000,2459906.399000 22 Nov 2022 21:34:33.600000,5.700,8.700,3.000 
RY HER,1,1,2458992.493000 22 May 2020 23:49:55.200000,2458992.493000 22 May 2020 23:49:55.200000,11.100,11.100,0.000 
RY LEO,1547,21,2445430.396000 5 Apr 1983 21:30:14.400000,2459877.690000 25 Oct 2022 04:33:36.000000,8.650,12.200,3.550 
RY LEP,4,1,2449754.575700 6 Feb 1995 01:49:00.480000,2449774.535400 26 Feb 1995 00:50:58.560000,8.300,8.500,0.200 
RY LYR,49,4,2454622.444400 4 Jun 2008 22:39:56.160000,2459026.483000 25 Jun 2020 23:35:31.200000,5.700,14.600,8.900 
RY MON,1,1,2446135.333000 10 Mar 1985 19:59:31.200000,2446135.333000 10 Mar 1985 19:59:31.200000,8.700,8.700,0.000 
RY OPH,2686,21,2419666.000000 20 Sep 1912 12:00:00.000000,2458360.417000 29 Aug 2018 22:00:28.800000,7.100,14.700,7.600 
RY SER,26,1,2450582.604100 14 May 1997 02:29:54.240000,2451043.402000 17 Aug 1998 21:38:52.800000,14.400,15.000,0.600 
RY SGR,349,8,2444869.348000 21 Sep 1981 20:21:07.200000,2459823.396000 31 Aug 2022 21:30:14.400000,5.900,12.500,6.600 
RY TAU,207,2,2450476.420000 27 Jan 1997 22:04:48.000000,2459672.365000 2 Apr 2022 20:45:36.000000,9.200,11.400,2.200 
RY UMA,9853,119,2439341.600000 4 Aug 1966 02:24:00.000000,2459906.396000 22 Nov 2022 21:30:14.400000,6.500,8.500,2.000 
RY VIR,1,1,2454485.779200 20 Jan 2008 06:42:02.880000,2454485.779200 20 Jan 2008 06:42:02.880000,8.600,8.600,0.000 
RZ ARI,55,1,2454485.319400 19 Jan 2008 19:39:56.160000,2459852.479000 29 Sep 2022 23:29:45.600000,5.600,6.400,0.800 
RZ CAS,4338,27,2442234.462000 5 Jul 1974 23:05:16.800000,2459907.429000 23 Nov 2022 22:17:45.600000,5.700,8.100,2.400 
RZ COM,10,1,2449838.384700 30 Apr 1995 21:13:58.080000,2449845.476400 7 May 1995 23:26:00.960000,10.300,10.900,0.600 
RZ CYG,9,2,2452491.361100 4 Aug 2002 20:39:59.040000,2456151.456200 11 Aug 2012 22:56:55.680000,10.300,13.400,3.100 
RZ FOR,5,1,2444873.607000 26 Sep 1981 02:34:04.800000,2451253.983000 16 Mar 1999 11:35:31.200000,8.600,8.900,0.300 
RZ GRU,1,1,2456571.829000 6 Oct 2013 07:53:45.600000,2456571.829000 6 Oct 2013 07:53:45.600000,12.200,12.200,0.000 
RZ LEO,1157,17,2447597.451300 11 Mar 1989 22:49:52.320000,2459721.426000 21 May 2022 22:13:26.400000,11.500,16.600,5.100 
RZ LMI,667,2,2449795.483300 18 Mar 1995 23:35:57.120000,2459727.419000 27 May 2022 22:03:21.600000,12.900,16.400,3.500 
RZ NOR,113,1,2450142.500000 29 Feb 1996 00:00:00.000000,2451805.210000 17 Sep 2000 17:02:24.000000,11.000,13.800,2.800 
RZ PEG,20,1,2458376.368000 14 Sep 2018 20:49:55.200000,2459559.274000 10 Dec 2021 18:34:33.600000,8.100,10.200,2.100 
RZ PSC,102,1,2455114.633300 10 Oct 2009 03:11:57.120000,2457075.329000 21 Feb 2015 19:53:45.600000,11.440,12.500,1.060 
RZ SCO,1,1,2452461.330600 5 Jul 2002 19:56:03.840000,2452461.330600 5 Jul 2002 19:56:03.840000,9.300,9.300,0.000 
RZ SGE,2314,22,2446976.980000 30 Jun 1987 11:31:12.000000,2459906.283000 22 Nov 2022 18:47:31.200000,11.600,16.400,4.800 
RZ UMA,21,5,2450665.430000 4 Aug 1997 22:19:12.000000,2459609.517000 30 Jan 2022 00:24:28.800000,9.200,9.900,0.700 
RZ VUL,1286,8,2448506.505500 7 Sep 1991 00:07:55.200000,2459896.269000 12 Nov 2022 18:27:21.600000,10.800,15.500,4.700 
S ANT,6,1,2412944.500000 26 Apr 1894 00:00:00.000000,2413242.500000 18 Feb 1895 00:00:00.000000,6.600,6.800,0.200 
S APS,118,2,2450079.500000 28 Dec 1995 00:00:00.000000,2451696.210000 31 May 2000 17:02:24.000000,9.400,12.200,2.800 
S AQL,3927,27,2400275.500000 19 Aug 1859 00:00:00.000000,2459866.358000 13 Oct 2022 20:35:31.200000,8.550,12.900,4.350 
S ARI,4,1,2454796.270100 25 Nov 2008 18:28:56.640000,2455507.366700 6 Nov 2010 20:48:02.880000,11.600,14.800,3.200 
S AUR,24,2,2452583.400000 4 Nov 2002 21:36:00.000000,2459585.323000 5 Jan 2022 19:45:07.200000,8.500,12.900,4.400 
S BOO,6428,57,2412673.500000 29 Jul 1893 00:00:00.000000,2459852.391000 29 Sep 2022 21:23:02.400000,7.550,14.050,6.500 
S CAM,134,5,2444913.315000 4 Nov 1981 19:33:36.000000,2458316.533000 17 Jul 2018 00:47:31.200000,8.200,10.800,2.600 
S CAR,9,1,2445857.485000 5 Jun 1984 23:38:24.000000,2451261.939000 24 Mar 1999 10:32:09.600000,5.900,9.800,3.900 
S CAS,9020,90,2412506.500000 12 Feb 1893 00:00:00.000000,2459893.439000 9 Nov 2022 22:32:09.600000,7.000,15.900,8.900 
S CEN,12,1,2445849.488000 28 May 1984 23:42:43.200000,2451260.949000 23 Mar 1999 10:46:33.600000,7.700,8.100,0.400 
S CEP,5961,67,2412597.500000 14 May 1893 00:00:00.000000,2459879.288000 26 Oct 2022 18:54:43.200000,6.500,13.000,6.500 
S CET,18,3,2413476.500000 10 Oct 1895 00:00:00.000000,2413566.500000 8 Jan 1896 00:00:00.000000,7.500,10.400,2.900 
S CMI,84,9,2444233.420000 25 Dec 1979 22:04:48.000000,2459588.465000 8 Jan 2022 23:09:36.000000,6.900,12.500,5.600 
S CRB,14946,148,2402017.500000 26 May 1864 00:00:00.000000,2459883.263000 30 Oct 2022 18:18:43.200000,5.400,13.980,8.580 
S CRT,29,1,2457721.733000 29 Nov 2016 05:35:31.200000,2459726.448000 26 May 2022 22:45:07.200000,8.400,10.100,1.700 
S CYG,6577,78,2412427.500000 25 Nov 1892 00:00:00.000000,2459893.392000 9 Nov 2022 21:24:28.800000,8.400,15.900,7.500 
S DEL,1169,23,2400736.500000 22 Nov 1860 00:00:00.000000,2459858.351000 5 Oct 2022 20:25:26.400000,6.600,12.600,6.000 
S Dor,4,1,2451247.971000 10 Mar 1999 11:18:14.400000,2453339.926000 30 Nov 2004 10:13:26.400000,8.500,9.300,0.800 
S DRA,302,8,2441058.600000 17 Apr 1971 02:24:00.000000,2459852.406000 29 Sep 2022 21:44:38.400000,7.200,10.000,2.800 
S EQU,73,4,2452214.249000 31 Oct 2001 17:58:33.600000,2458791.354100 3 Nov 2019 20:29:54.240000,7.900,10.400,2.500 
S GEM,133,3,2399636.500000 18 Nov 1857 00:00:00.000000,2459600.323000 20 Jan 2022 19:45:07.200000,8.400,14.100,5.700 
S GRU,1,1,2452606.356900 27 Nov 2002 20:33:56.160000,2452606.356900 27 Nov 2002 20:33:56.160000,8.300,8.300,0.000 
S HER,6720,68,2399478.500000 13 Jun 1857 00:00:00.000000,2459775.448000 14 Jul 2022 22:45:07.200000,6.400,13.900,7.500 
S HYA,1,1,2458934.365000 25 Mar 2020 20:45:36.000000,2458934.365000 25 Mar 2020 20:45:36.000000,8.900,8.900,0.000 
S LAC,1,1,2454597.455600 10 May 2008 22:56:03.840000,2454597.455600 10 May 2008 22:56:03.840000,10.700,10.700,0.000 
S LEO,7,2,2453022.649300 18 Jan 2004 03:34:59.520000,2453817.503500 23 Mar 2006 00:05:02.400000,9.800,12.300,2.500 
S LEP,199,3,2444168.675000 22 Oct 1979 04:12:00.000000,2459858.672000 6 Oct 2022 04:07:40.800000,6.400,7.900,1.500 
S Lib,1,1,2459726.514000 27 May 2022 00:20:09.600000,2459726.514000 27 May 2022 00:20:09.600000,9.100,9.100,0.000 
S Lmi,23,2,2448298.457000 10 Feb 1991 22:58:04.800000,2459725.451000 25 May 2022 22:49:26.400000,8.000,12.400,4.400 
S LYN,6,1,2458525.469000 10 Feb 2019 23:15:21.600000,2459224.545000 10 Jan 2021 01:04:48.000000,9.300,12.400,3.100 
S LYR,3,1,2458976.458000 6 May 2020 22:59:31.200000,2459359.448000 24 May 2021 22:45:07.200000,12.000,13.200,1.200 
S MON,830,8,2411790.500000 27 Feb 1891 00:00:00.000000,2459599.278000 19 Jan 2022 18:40:19.200000,4.200,5.700,1.500 
S NOR,1,1,2451262.197000 24 Mar 1999 16:43:40.800000,2451262.197000 24 Mar 1999 16:43:40.800000,7.200,7.200,0.000 
S ORI,146,2,2404489.500000 3 Mar 1871 00:00:00.000000,2413194.500000 1 Jan 1895 00:00:00.000000,7.800,13.000,5.200 
S Pav,7,2,2445227.234000 14 Sep 1982 17:36:57.600000,2453339.908000 30 Nov 2004 09:47:31.200000,7.700,8.900,1.200 
S PEG,85,5,2450301.400000 5 Aug 1996 21:36:00.000000,2459904.264000 20 Nov 2022 18:20:09.600000,8.000,12.800,4.800 
S PER,11758,109,2412327.500000 17 Aug 1892 00:00:00.000000,2459908.257000 24 Nov 2022 18:10:04.800000,7.390,13.600,6.210 
S PSA,1,1,2413542.500000 15 Dec 1895 00:00:00.000000,2413542.500000 15 Dec 1895 00:00:00.000000,9.100,9.100,0.000 
S PSC,10,1,2412709.500000 3 Sep 1893 00:00:00.000000,2412824.500000 27 Dec 1893 00:00:00.000000,9.500,12.500,3.000 
S SCO,9,2,2449390.750000 7 Feb 1994 06:00:00.000000,2459763.458000 2 Jul 2022 22:59:31.200000,7.400,13.600,6.200 
S SCT,2909,71,2440308.654000 28 Mar 1969 03:41:45.600000,2459888.267000 4 Nov 2022 18:24:28.800000,5.600,8.800,3.200 
S SER,1,1,2458982.392000 12 May 2020 21:24:28.800000,2458982.392000 12 May 2020 21:24:28.800000,10.200,10.200,0.000 
S SGE,460,9,2410197.500000 18 Oct 1886 00:00:00.000000,2456558.329000 22 Sep 2013 19:53:45.600000,4.800,6.800,2.000 
S SGR,4,1,2412749.500000 13 Oct 1893 00:00:00.000000,2413104.500000 3 Oct 1894 00:00:00.000000,10.600,13.500,2.900 
S TAU,8,3,2452940.472200 27 Oct 2003 23:19:58.080000,2458412.635000 21 Oct 2018 03:14:24.000000,11.800,14.700,2.900 
S TRA,4,1,2445226.235000 13 Sep 1982 17:38:24.000000,2445229.275000 16 Sep 1982 18:36:00.000000,6.600,6.800,0.200 
S UMA,16018,131,2399655.500000 7 Dec 1857 00:00:00.000000,2459860.701000 8 Oct 2022 04:49:26.400000,6.740,13.000,6.260 
S UMI,7361,68,2418982.000000 6 Nov 1910 12:00:00.000000,2459855.431000 2 Oct 2022 22:20:38.400000,6.600,13.100,6.500 
S VIR,4774,74,2411837.500000 15 Apr 1891 00:00:00.000000,2459774.445000 13 Jul 2022 22:40:48.000000,5.780,13.590,7.810 
S VUL,143,1,2401106.500000 27 Nov 1861 00:00:00.000000,2410283.500000 12 Jan 1887 00:00:00.000000,8.800,9.800,1.000 
S5 0716+71,2611,9,2450723.517300 2 Oct 1997 00:24:54.720000,2459887.556000 4 Nov 2022 01:20:38.400000,12.100,15.400,3.300 
S5 1803+78,32,1,2459295.342000 21 Mar 2021 20:12:28.800000,2459378.569000 13 Jun 2021 01:39:21.600000,14.200,15.500,1.300 
SAO 251015,7,1,2451248.042000 10 Mar 1999 13:00:28.800000,2451261.945000 24 Mar 1999 10:40:48.000000,9.500,9.600,0.100 
SAO 58521 AUR,11,1,2456395.382000 12 Apr 2013 21:10:04.800000,2456649.414000 22 Dec 2013 21:56:09.600000,9.600,10.000,0.400 
SAO2465 UMi,1,1,2459798.456000 6 Aug 2022 22:56:38.400000,2459798.456000 6 Aug 2022 22:56:38.400000,7.100,7.100,0.000 
SDSS J033449.86-071047.8,3,1,2455194.525000 29 Dec 2009 00:36:00.000000,2455259.428500 3 Mar 2010 22:17:02.400000,16.380,18.100,1.720 
SDSS J073208.11+413008.7,1,1,2455590.425000 28 Jan 2011 22:12:00.000000,2455590.425000 28 Jan 2011 22:12:00.000000,19.000,19.000,0.000 
SDSS J074640.62+173412.8,1,1,2454875.450000 12 Feb 2009 22:48:00.000000,2454875.450000 12 Feb 2009 22:48:00.000000,16.100,16.100,0.000 
SDSS J074716.81+424849.0,297,5,2452944.618800 1 Nov 2003 02:51:04.320000,2459694.406000 24 Apr 2022 21:44:38.400000,5.000,17.300,12.300 
SDSS J080846.19+313106.0,8,1,2453436.562500 7 Mar 2005 01:30:00.000000,2454056.588900 17 Nov 2006 02:08:00.960000,15.200,15.600,0.400 
SDSS J080908.39+381406.2,12,1,2453845.425000 19 Apr 2006 22:12:00.000000,2454101.381300 31 Dec 2006 21:09:04.320000,14.770,15.550,0.780 
SDSS J081610.84+453010.2,22,4,2453845.416700 19 Apr 2006 22:00:02.880000,2457118.453470 5 Apr 2015 22:52:59.808000,12.200,17.400,5.200 
SDSS J083845.23+491055.5,12,1,2453845.420100 19 Apr 2006 22:04:56.640000,2454101.389600 31 Dec 2006 21:21:01.440000,16.300,17.600,1.300 
SDSS J103533.03+055158.4,2,1,2455262.486100 6 Mar 2010 23:39:59.040000,2455263.445100 7 Mar 2010 22:40:56.640000,15.000,15.500,0.500 
SDSS J120231.01+450349.1,1,1,2455219.718800 23 Jan 2010 05:15:04.320000,2455219.718800 23 Jan 2010 05:15:04.320000,18.710,18.710,0.000 
SDSS J124058.03-015919.2,3,1,2456451.836000 8 Jun 2013 08:03:50.400000,2456477.784000 4 Jul 2013 06:48:57.600000,13.700,15.500,1.800 
SDSS J140429.37+172359.5,1,1,2455022.527800 10 Jul 2009 00:40:01.920000,2455022.527800 10 Jul 2009 00:40:01.920000,16.300,16.300,0.000 
SDSS J141118.31+481257.6,12,1,2458260.459000 21 May 2018 23:00:57.600000,2458310.457000 10 Jul 2018 22:58:04.800000,12.600,15.200,2.600 
SDSS J145758.21+514807.9,2,1,2457296.304000 30 Sep 2015 19:17:45.600000,2457298.297000 2 Oct 2015 19:07:40.800000,12.100,12.500,0.400 
SDSS J150137.22+550123.4,7,2,2455664.658300 13 Apr 2011 03:47:57.120000,2457108.061700 26 Mar 2015 13:28:50.880000,17.200,19.750,2.550 
SDSS J150441.76+084752.6,500,6,2452791.471500 31 May 2003 23:18:57.600000,2459771.455000 10 Jul 2022 22:55:12.000000,12.900,18.100,5.200 
SDSS J151006.34-015521.7,27,1,2448354.559000 8 Apr 1991 01:24:57.600000,2448752.449300 9 May 1992 22:46:59.520000,14.240,15.700,1.460 
SDSS J161332.56-000331.0,52,1,2454232.707600 12 May 2007 04:58:56.640000,2455816.449300 11 Sep 2011 22:46:59.520000,15.090,19.130,4.040 
SDSS J162718.39+120435.0,4,1,2455710.609700 29 May 2011 02:37:58.080000,2455796.482600 22 Aug 2011 23:34:56.640000,17.950,18.710,0.760 
SDSS J163605.01+465204.5,4,1,2455704.623600 23 May 2011 02:57:59.040000,2455799.538200 26 Aug 2011 00:55:00.480000,15.190,16.500,1.310 
SDSS J171247.71+604603.3,40,1,2453848.434700 22 Apr 2006 22:25:58.080000,2454058.490300 18 Nov 2006 23:46:01.920000,14.900,16.800,1.900 
SDSS J172601.96+543230.7,1,1,2454656.509700 9 Jul 2008 00:13:58.080000,2454656.509700 9 Jul 2008 00:13:58.080000,15.100,15.100,0.000 
SDSS J172601.96+543230.8,39,1,2453848.436100 22 Apr 2006 22:27:59.040000,2454057.414600 17 Nov 2006 21:57:01.440000,15.800,17.100,1.300 
SDSS J173008.38+624754.7,825,3,2452514.400000 27 Aug 2002 21:36:00.000000,2459860.336000 7 Oct 2022 20:03:50.400000,13.300,16.700,3.400 
SN 1989B,38,3,2447559.461800 1 Feb 1989 23:04:59.520000,2447642.410000 25 Apr 1989 21:50:24.000000,12.040,14.470,2.430 
SN 1991BG,1,1,2448608.765200 18 Dec 1991 06:21:53.280000,2448608.765200 18 Dec 1991 06:21:53.280000,14.160,14.160,0.000 
SN 1991T,46,4,2448366.413100 19 Apr 1991 21:54:51.840000,2448418.451300 10 Jun 1991 22:49:52.320000,11.100,13.800,2.700 
SN 1992G,11,2,2448685.470800 3 Mar 1992 23:17:57.120000,2448721.444400 8 Apr 1992 22:39:56.160000,13.520,15.570,2.050 
SN 1993J,172,6,2449077.365000 30 Mar 1993 20:45:36.000000,2449311.506000 20 Nov 1993 00:08:38.400000,10.450,15.170,4.720 
SN 1994AE,3,1,2449718.593000 1 Jan 1995 02:13:55.200000,2449726.590200 9 Jan 1995 02:09:53.280000,13.950,14.300,0.350 
SN 1994D,36,4,2449421.555000 10 Mar 1994 01:19:12.000000,2449481.503000 9 May 1994 00:04:19.200000,12.000,15.360,3.360 
SN 1994I,14,2,2449445.354000 2 Apr 1994 20:29:45.600000,2449481.505000 9 May 1994 00:07:12.000000,13.020,15.290,2.270 
SN 1994L,2,1,2449445.424000 2 Apr 1994 22:10:33.600000,2449456.399000 13 Apr 1994 21:34:33.600000,13.500,13.500,0.000 
SN 1994W,10,2,2449566.404800 1 Aug 1994 21:42:54.720000,2449594.356900 29 Aug 1994 20:33:56.160000,13.330,13.920,0.590 
SN 1995AL,3,1,2450027.590200 6 Nov 1995 02:09:53.280000,2450039.597900 18 Nov 1995 02:20:58.560000,13.120,13.700,0.580 
SN 1995D,26,2,2449766.491600 17 Feb 1995 23:47:54.240000,2449826.370100 18 Apr 1995 20:52:56.640000,12.670,14.980,2.310 
SN 1996BK,4,2,2450372.270800 15 Oct 1996 18:29:57.120000,2450376.290000 19 Oct 1996 18:57:36.000000,14.060,14.600,0.540 
SN 1997BP,1,1,2450550.555500 12 Apr 1997 01:19:55.200000,2450550.555500 12 Apr 1997 01:19:55.200000,14.000,14.000,0.000 
SN 1997BQ,16,1,2450548.402700 9 Apr 1997 21:39:53.280000,2450582.420800 13 May 1997 22:05:57.120000,14.500,15.900,1.400 
SN 1997DO,2,1,2450762.469400 9 Nov 1997 23:15:56.160000,2450774.469400 21 Nov 1997 23:15:56.160000,14.800,14.800,0.000 
SN 1997X,1,1,2450490.649300 11 Feb 1997 03:34:59.520000,2450490.649300 11 Feb 1997 03:34:59.520000,14.600,14.600,0.000 
SN 1998AN,2,1,2450915.379800 11 Apr 1998 21:06:54.720000,2450919.383300 15 Apr 1998 21:11:57.120000,14.600,15.500,0.900 
SN 1998AQ,89,12,2450919.381900 15 Apr 1998 21:09:56.160000,2453027.384700 22 Jan 2004 21:13:58.080000,11.200,14.220,3.020 
SN 1998BP,4,3,2450935.437000 1 May 1998 22:29:16.800000,2450952.474000 18 May 1998 23:22:33.600000,14.200,15.000,0.800 
SN 1998BU,32,7,2450945.331000 11 May 1998 19:56:38.400000,2450965.385000 31 May 1998 21:14:24.000000,11.400,12.600,1.200 
SN 1998S,141,15,2450882.446500 9 Mar 1998 22:42:57.600000,2450963.472000 29 May 1998 23:19:40.800000,11.700,15.300,3.600 
SN 1998V,1,1,2450903.638800 31 Mar 1998 03:19:52.320000,2450903.638800 31 Mar 1998 03:19:52.320000,15.500,15.500,0.000 
SN 1999AA,2,1,2451232.418000 22 Feb 1999 22:01:55.200000,2451232.493000 22 Feb 1999 23:49:55.200000,14.900,14.900,0.000 
SN 1999BY,59,11,2451302.322000 3 May 1999 19:43:40.800000,2451334.472900 4 Jun 1999 23:20:58.560000,12.920,14.920,2.000 
SN 1999CL,15,4,2451334.445100 4 Jun 1999 22:40:56.640000,2451348.452000 18 Jun 1999 22:50:52.800000,13.400,14.600,1.200 
SN 1999EM,27,4,2451483.462000 31 Oct 1999 23:05:16.800000,2451585.333000 10 Feb 2000 19:59:31.200000,12.800,14.800,2.000 
SN 2001BG,1,1,2452042.395800 12 May 2001 21:29:57.120000,2452042.395800 12 May 2001 21:29:57.120000,13.900,13.900,0.000 
SN 2001DN,1,1,2452138.586800 17 Aug 2001 02:04:59.520000,2452138.586800 17 Aug 2001 02:04:59.520000,15.800,15.800,0.000 
SN 2001IB,1,1,2452252.336800 8 Dec 2001 20:04:59.520000,2452252.336800 8 Dec 2001 20:04:59.520000,15.700,15.700,0.000 
SN 2002AP,21,4,2452312.292000 6 Feb 2002 19:00:28.800000,2452343.326000 9 Mar 2002 19:49:26.400000,12.400,14.000,1.600 
SN 2002BO,3,1,2452371.401400 6 Apr 2002 21:38:00.960000,2452377.423600 12 Apr 2002 22:09:59.040000,14.300,14.700,0.400 
SN 2004BD,7,3,2453104.465300 8 Apr 2004 23:10:01.920000,2453115.406300 19 Apr 2004 21:45:04.320000,14.000,15.100,1.100 
SN 2004DJ,15,4,2453224.446500 6 Aug 2004 22:42:57.600000,2453756.450700 20 Jan 2006 22:49:00.480000,12.100,17.100,5.000 
SN 2004ET,25,4,2453279.351400 30 Sep 2004 20:26:00.960000,2453394.310400 23 Jan 2005 19:26:58.560000,12.500,14.800,2.300 
SN 2005CS,2,1,2453575.435400 23 Jul 2005 22:26:58.560000,2453590.388200 7 Aug 2005 21:19:00.480000,14.500,14.800,0.300 
SN 2006X,5,3,2453787.510400 21 Feb 2006 00:14:58.560000,2453845.366000 19 Apr 2006 20:47:02.400000,14.200,16.600,2.400 
SN 2010JL,3,1,2455908.751400 13 Dec 2011 06:02:00.960000,2455920.695100 25 Dec 2011 04:40:56.640000,15.000,15.000,0.000 
SN 2011B,7,1,2455594.291700 1 Feb 2011 19:00:02.880000,2455634.577800 14 Mar 2011 01:52:01.920000,13.400,15.600,2.200 
SN 2011BY,6,1,2455704.437500 22 May 2011 22:30:00.000000,2455724.456200 11 Jun 2011 22:56:55.680000,13.200,14.700,1.500 
SN 2011DH,40,2,2455716.454200 3 Jun 2011 22:54:02.880000,2455807.347900 2 Sep 2011 20:20:58.560000,12.800,14.900,2.100 
SN 2011FE,20,2,2455800.411800 26 Aug 2011 21:52:59.520000,2456007.922900 21 Mar 2012 10:08:58.560000,10.000,15.400,5.400 
SN 2011ht,2,1,2455910.754900 15 Dec 2011 06:07:03.360000,2455916.009000 20 Dec 2011 12:12:57.600000,14.000,14.000,0.000 
SN 2012A,1,1,2456007.769400 21 Mar 2012 06:27:56.160000,2456007.769400 21 Mar 2012 06:27:56.160000,14.800,14.800,0.000 
SN 2012AW,18,1,2456007.427800 20 Mar 2012 22:16:01.920000,2456075.422200 27 May 2012 22:07:58.080000,13.100,13.700,0.600 
SN 2012CG,3,1,2456073.422900 25 May 2012 22:08:58.560000,2456075.422900 27 May 2012 22:08:58.560000,12.300,12.600,0.300 
SN 2012fg,1,1,2456276.709700 15 Dec 2012 05:01:58.080000,2456276.709700 15 Dec 2012 05:01:58.080000,17.000,17.000,0.000 
SN 2012fh,2,1,2456277.764600 16 Dec 2012 06:21:01.440000,2456278.760400 17 Dec 2012 06:14:58.560000,16.000,16.000,0.000 
SN 2012gm,1,1,2456285.328500 23 Dec 2012 19:53:02.400000,2456285.328500 23 Dec 2012 19:53:02.400000,16.000,16.000,0.000 
SN 2012ho,1,1,2456289.338200 27 Dec 2012 20:07:00.480000,2456289.338200 27 Dec 2012 20:07:00.480000,15.000,15.000,0.000 
SN 2012p,1,1,2455991.009000 4 Mar 2012 12:12:57.600000,2455991.009000 4 Mar 2012 12:12:57.600000,17.900,17.900,0.000 
SN 2014J,72,7,2456680.497000 22 Jan 2014 23:55:40.800000,2456838.467000 29 Jun 2014 23:12:28.800000,10.400,15.400,5.000 
SN 2017EAW,47,2,2457894.528000 21 May 2017 00:40:19.200000,2458054.328000 27 Oct 2017 19:52:19.200000,12.500,15.900,3.400 
SN 2019NP,6,1,2458499.689000 16 Jan 2019 04:32:09.600000,2458512.688000 29 Jan 2019 04:30:43.200000,13.400,14.600,1.200 
SN 2020HVF,14,1,2458980.421000 10 May 2020 22:06:14.400000,2458998.445000 28 May 2020 22:40:48.000000,12.300,13.300,1.000 
SN 2020JFO,4,1,2458992.431000 22 May 2020 22:20:38.400000,2458998.447000 28 May 2020 22:43:40.800000,14.700,14.900,0.200 
SN 2020ue,22,1,2458876.715000 28 Jan 2020 05:09:36.000000,2458980.425000 10 May 2020 22:12:00.000000,12.400,16.100,3.700 
SN 2022hrs,14,1,2459691.514000 22 Apr 2022 00:20:09.600000,2459748.452000 17 Jun 2022 22:50:52.800000,12.400,14.800,2.400 
SS AUR,34044,146,2422540.860000 4 Aug 1920 08:38:24.000000,2459909.441800 25 Nov 2022 22:36:11.520000,10.100,16.300,6.200 
