Variable Star,Number of Observations,Number of Observers,First Observation JD / UT,Latest Observation JD / UT,Maximum Magnitude,Minimum Magnitude,Range
V708 CAS,36,1,2450343.370000 16 Sep 1996 20:52:48.000000,2451815.309000 27 Sep 2000 19:24:57.600000,12.000,13.600,1.600 
V713 CEP,357,3,2452936.351400 23 Oct 2003 20:26:00.960000,2456589.358000 23 Oct 2013 20:35:31.200000,14.300,19.460,5.160 
V718 CYG,1,1,2448794.478000 20 Jun 1992 23:28:19.200000,2448794.478000 20 Jun 1992 23:28:19.200000,11.100,11.100,0.000 
V720 Cas,383,10,2447469.445000 3 Nov 1988 22:40:48.000000,2459635.318000 24 Feb 2022 19:37:55.200000,9.800,15.800,6.000 
V720 CAS-MID,1,1,2453611.521500 29 Aug 2005 00:30:57.600000,2453611.521500 29 Aug 2005 00:30:57.600000,12.200,12.200,0.000 
V720 Cas-N,4,1,2453591.456900 8 Aug 2005 22:57:56.160000,2453729.341700 24 Dec 2005 20:12:02.880000,13.100,13.700,0.600 
V720 CAS-NE,2,1,2453675.316000 31 Oct 2005 19:35:02.400000,2453729.342400 24 Dec 2005 20:13:03.360000,13.800,15.100,1.300 
V720 CAS-NW,1,1,2453675.315300 31 Oct 2005 19:34:01.920000,2453675.315300 31 Oct 2005 19:34:01.920000,13.600,13.600,0.000 
V720 CAS-S,5,1,2453591.458300 8 Aug 2005 22:59:57.120000,2453729.341000 24 Dec 2005 20:11:02.400000,12.400,13.400,1.000 
V720 CAS-W,2,1,2453591.458300 8 Aug 2005 22:59:57.120000,2453693.316000 18 Nov 2005 19:35:02.400000,12.200,12.600,0.400 
